Date,06750500,DEADDPCO,BOBGLNCO,06750000,06747000,06746500,CAPDCPCO,06746000,09010000,09022500,09021500,STCTUNCO,09047300,09050590,09046000,HSPTUNCO,09013000
1973,1383.2931,470.6846,,,16691.1525,2679.7080,406.6175,1893.7067,14761.2070,32062.4836,753.3135,,56.7281,1105.2062,,4482.3127,200379.5771
1974,4337.3005,1275.5889,,,17873.3190,650.5880,295.5415,1787.4906,15643.2690,68715.3811,808.5339,,57.9182,42681.5470,6.4265,10310.4320,261396.2432
1975,1956.1473,1029.2381,,,17127.9180,1678.0410,275.7065,1712.7721,21834.9595,60571.5220,402.0555,,11.5043,47193.7730,39.4717,8947.7672,247058.2183
1976,1894.1437,1096.6771,,,18775.8110,,220.1685,1769.3807,18349.9525,63258.3770,359.2119,,30.5459,69073.9985,68.4903,10263.8190,266458.1367
1977,558.6131,502.9362,,,15511.1689,1998.1784,214.2180,466.1225,12796.9470,48280.5720,322.1204,,276.4801,106971.9390,13.3688,2530.0737,273965.8779
1978,1916.2991,949.5212,,,19052.5077,,201.1269,261.2270,25195.6001,80439.6074,677.6231,,256.7641,140745.1970,174.3893,9749.2195,275882.7324
1979,366.7492,,,,15044.4508,426.4525,233.9538,726.0601,17939.1714,56701.7199,372.7988,,705.5309,53262.5290,153.5427,10115.0780,158095.4802
1980,287.4092,328.8643,,,16554.2910,205.2923,153.6419,1114.3304,13334.4754,37518.9296,777.0559,,296.9299,65661.7800,33.1641,5493.6408,167229.4021
1981,2442.5613,939.1875,,,15421.9104,1285.3080,124.2266,1158.9193,13702.6131,54899.9052,462.6910,,799.7670,108908.4370,,5651.0511,278898.3516
1982,3020.6722,373.4931,,,17880.6580,1697.2805,328.3089,2220.7272,21857.7715,91720.2154,431.0741,,586.4814,47675.4060,,11495.1955,214872.1008
1983,1076.0487,263.8055,,,14465.6650,1063.1555,,385.5924,12667.6228,37097.1986,673.9140,,412.8655,673.3983,,7133.0630,175341.5595
1984,277.8884,6.2480,,,18033.9830,1227.9845,,198.9451,17618.0423,54161.6566,1116.4329,,684.9421,,,6696.3550,191846.1021
1985,1412.2520,,,,13789.2920,,,321.9220,20844.8012,74155.1280,566.9637,,368.9112,298.5168,39.8684,6576.8883,289491.8271
1986,800.1439,,,,17292.1575,1386.1095,,1035.9820,23925.7683,78616.0155,914.0762,,484.3112,5125.9794,72.1399,13749.0267,284225.6357
1987,969.1381,609.3311,,,17423.0655,,147.3939,2614.4514,17637.6782,46942.2994,270.6485,,418.9350,19381.3720,,7785.7129,228273.2764
1988,1991.4340,,,,13898.1856,,163.0239,4735.2689,19049.4353,76199.5289,709.9344,,748.1366,52604.9976,,9767.7663,287205.8408
1989,929.0715,710.0534,,,18884.0709,109.4892,116.0546,1830.7309,18837.9733,64703.3643,843.2057,,967.1546,81654.7310,,10712.3085,293372.8594
1990,1637.5776,655.9434,,,16759.3840,355.0465,94.6130,2689.2496,20982.8349,68895.0877,636.5845,,667.8246,54102.7395,,11191.4029,170494.1387
1991,2532.9296,834.7361,,,16533.2664,,,4543.3452,18412.3381,62729.3756,610.3825,,1220.7847,75091.3470,81.9384,12370.4150,212686.6355
1992,1842.4731,990.7583,,,18683.9750,197.9533,130.8911,4700.3201,21363.2878,48646.0971,1009.1056,,1145.6499,84536.7766,186.2506,11639.2371,193630.4580
1993,1405.3100,,,,19687.7600,,,6095.4945,24774.2700,36195.3057,1276.7591,,760.8903,116346.5580,257.7955,12751.2666,204029.4339
1994,1583.8249,305.5780,,,19488.7417,,,3957.3798,17872.3842,43980.3505,855.2654,40.8204,464.5357,73644.8446,90.1699,8302.1559,256241.0242
1995,978.4606,,,,10263.4620,,,6003.8554,20077.3841,23436.6398,814.9011,342.8876,759.6409,43434.4813,,5626.4161,197564.0392
1996,1876.1129,,,,12478.5950,,,3532.0190,23258.3186,55101.2311,1528.5049,388.3296,268.2485,54986.3949,208.9220,10062.4935,217785.7632
1997,1950.7726,,,,14368.2745,,,6380.6809,17936.0564,49374.3866,2608.2824,390.9875,419.5102,42509.7793,275.5676,8751.1632,231158.9727
1998,1409.5941,172.3661,55.3793,,19545.4090,,,5087.2406,21143.0979,35885.1414,1475.2082,347.2513,422.9615,26290.3032,188.7697,9282.9779,171582.6251
1999,1958.4286,131.5259,56.8670,,14019.3780,190.8127,12.1192,3668.0072,19444.0485,35662.9891,,389.0438,579.5788,45812.0244,92.5303,10253.7041,171362.2550
2000,1976.3597,250.7938,23.4251,,5547.4127,3847.7916,83.6839,4699.8239,18673.2648,58935.9365,,374.3063,332.1370,97183.1750,123.6514,9266.6930,134818.3281
2001,1452.3780,494.8237,17.4151,,13080.9840,38.6584,111.5719,3428.3409,16432.5448,66851.8862,531.4986,321.9023,369.5458,120227.8870,189.0078,6054.3561,268906.7964
2002,256.2286,138.3690,3.0149,,11148.3407,,85.1120,1360.0661,9430.5106,31828.4306,246.9458,214.9916,352.1506,126404.6850,29.2368,2361.5347,249548.6436
2003,2679.3110,196.7632,291.2174,,19329.2085,,182.5416,6230.3317,4979.9333,75623.5080,584.4581,383.5692,418.4590,75213.1329,171.8108,8466.4905,182079.6001
2004,1382.4797,881.8640,147.9691,,18845.4330,,79.4987,3116.6539,14837.3935,62976.5268,401.1430,329.4990,385.4933,79909.2650,41.6932,5449.1302,230559.6971
2005,3591.8611,1291.2982,373.6716,,18210.5135,,177.0671,5679.4345,21170.8079,55767.6939,800.6597,353.2217,517.7927,56912.5610,132.8945,11248.0923,153799.3557
2006,1334.6374,607.7643,215.0114,,18733.6037,312.9963,161.8536,2640.0583,19745.7456,82152.0111,838.7627,322.5369,627.3811,107646.3278,185.8341,12163.5158,271506.6163
2007,3524.8786,1201.3861,321.9419,,18343.4080,,94.6526,5802.6304,20653.5941,44887.0057,719.0187,222.1322,714.6551,39311.2280,187.2622,6007.1089,263531.6777
2008,4233.9594,1412.4106,309.3070,,18163.3065,,195.1565,6477.6354,21572.8237,70795.0905,702.8135,284.9298,1059.7840,90218.1155,169.8868,12923.0976,286450.4099
2009,2917.8476,1290.6635,298.7548,,14385.3344,,199.5202,5728.6456,19418.3852,45166.6765,728.4205,254.7012,1284.7129,44879.0680,209.0212,8460.2229,237283.0295
2010,1340.1914,317.8162,,,10403.6574,,,3772.2208,13993.0768,29492.3641,533.0061,230.6215,953.3494,68336.7359,103.9156,10092.7020,203068.8196
2011,2684.6877,1044.8681,,,15593.4837,,,509.2835,17001.3730,53041.8015,841.0238,350.5638,399.5562,73673.1310,236.6316,3116.1181,265009.4695
2012,868.5548,562.7587,187.2622,,18375.7381,314.2856,75.0755,1675.3434,9832.4083,41636.4404,402.8291,169.9265,440.9916,127497.9930,4.6612,2611.2579,305320.3542
2013,1923.1817,794.3323,180.6572,,18794.2610,,156.6370,4988.5026,17368.1176,55365.8264,551.8493,244.9424,418.5185,58406.1440,100.1668,10645.8803,195207.1563
2014,2465.5100,1577.7953,426.7897,,12513.9005,,71.4853,3795.7643,15747.0065,23670.6319,610.6999,313.2145,669.6297,13618.7105,181.2721,9721.6296,
2015,2072.2421,1097.4111,507.9545,,9203.4400,,8.2315,782.5304,12208.6414,24627.9294,354.4713,304.3086,667.1304,19614.2369,112.8612,6605.0947,
2016,,,,,,,,,,,,,,,,,
